Age Group,Investment Time Horizon,Risk Type,Allocation
35-45,17,Short Term,
35-45,18,Short Term,
35-45,19,Short Term,
35-45,20,Short Term,
35-45,21,Short Term,
35-45,22,Short Term,
35-45,23,Short Term,
35-45,24,Short Term,
35-45,25,Short Term,
35-45,26,Short Term,
35-45,27,Short Term,
35-45,28,Short Term,
35-45,29,Short Term,
35-45,30,Short Term,
35-45,31,Short Term,
35-45,32,Short Term,
35-45,33,Short Term,
35-45,34,Short Term,
35-45,35,Short Term,
35-45,36,Short Term,
35-45,37,Short Term,
35-45,38,Short Term,
35-45,39,Short Term,
35-45,40,Short Term,
35-45,41,Short Term,
35-45,42,Short Term,
35-45,43,Short Term,
35-45,44,Short Term,
35-45,45,Short Term,
35-45,46,Short Term,
35-45,47,Short Term,
35-45,48,Short Term,
35-45,49,Short Term,
35-45,50,Short Term,
35-45,< 3M,Income,
35-45,< 6M,Income,
35-45,< 1Y,Income,
35-45,1,Income,20
35-45,2,Income,100
35-45,3,Income,60
35-45,4,Income,40
35-45,5,Income, 
35-45,6,Income,
35-45,7,Income,
35-45,8,Income,
35-45,9,Income,
35-45,10,Income,
35-45,11,Income,
35-45,12,Income,
35-45,13,Income,
35-45,14,Income,
35-45,15,Income,
35-45,16,Income,
35-45,17,Income,
35-45,18,Income,
35-45,19,Income,
35-45,20,Income,
35-45,21,Income,
35-45,22,Income,
35-45,23,Income,
35-45,24,Income,
35-45,25,Income,
35-45,26,Income,
35-45,27,Income,
35-45,28,Income,
35-45,29,Income,
35-45,30,Income,
35-45,31,Income,
35-45,32,Income,
35-45,33,Income,
35-45,34,Income,
35-45,35,Income,
35-45,36,Income,
35-45,37,Income,
35-45,38,Income,
35-45,39,Income,
35-45,40,Income,
35-45,41,Income,
35-45,42,Income,
35-45,43,Income,
35-45,44,Income,
35-45,45,Income,
35-45,46,Income,
35-45,47,Income,
35-45,48,Income,
35-45,49,Income,
35-45,50,Income,
35-45,< 3M,Balanced,
35-45,< 6M,Balanced,
35-45,< 1Y,Balanced,
35-45,1,Balanced,
35-45,2,Balanced,0.0
35-45,3,Balanced,40.0
35-45,4,Balanced,60.0
35-45,5,Balanced,80.0
35-45,6,Balanced,60.0
35-45,7,Balanced,40.0
35-45,8,Balanced,
35-45,9,Balanced,
35-45,10,Balanced,
35-45,11,Balanced,
35-45,12,Balanced,
35-45,13,Balanced,
35-45,14,Balanced,
35-45,15,Balanced,
35-45,16,Balanced,
35-45,17,Balanced,
35-45,18,Balanced,
35-45,19,Balanced,
35-45,20,Balanced,
35-45,21,Balanced,
35-45,22,Balanced,
35-45,23,Balanced,
35-45,24,Balanced,
35-45,25,Balanced,
35-45,26,Balanced,
35-45,27,Balanced,
35-45,28,Balanced,
35-45,29,Balanced,
35-45,30,Balanced,
35-45,31,Balanced,
35-45,32,Balanced,
35-45,33,Balanced,
35-45,34,Balanced,
35-45,35,Balanced,
35-45,36,Balanced,
35-45,37,Balanced,
35-45,38,Balanced,
35-45,39,Balanced,
35-45,40,Balanced,
35-45,41,Balanced,
35-45,42,Balanced,
35-45,43,Balanced,
35-45,44,Balanced,
35-45,45,Balanced,
35-45,46,Balanced,
35-45,47,Balanced,
35-45,48,Balanced,
35-45,49,Balanced,
35-45,50,Balanced,
35-45,< 3M,Equity – Mod,
35-45,< 6M,Equity – Mod,
35-45,< 1Y,Equity – Mod,
35-45,1,Equity – Mod,
35-45,2,Equity – Mod,
35-45,3,Equity – Mod,
35-45,4,Equity – Mod,
35-45,5,Equity – Mod,20.0
35-45,6,Equity – Mod,40.0
35-45,7,Equity – Mod,60.0
35-45,8,Equity – Mod,80.0
35-45,9,Equity – Mod,70.0
35-45,10,Equity – Mod,60.0
35-45,11,Equity – Mod,50.0
35-45,12,Equity – Mod,40.0
35-45,13,Equity – Mod,40.0
35-45,14,Equity – Mod,40.0
35-45,15,Equity – Mod,40.0
35-45,16,Equity – Mod,40.0
35-45,17,Equity – Mod,40.0
35-45,18,Equity – Mod,40.0
35-45,19,Equity – Mod,40.0
35-45,20,Equity – Mod,40.0
35-45,21,Equity – Mod,40.0
35-45,22,Equity – Mod,40.0
35-45,23,Equity – Mod,40.0
35-45,24,Equity – Mod,40.0
35-45,25,Equity – Mod,40.0
35-45,26,Equity – Mod,40.0
35-45,27,Equity – Mod,40.0
35-45,28,Equity – Mod,40.0
35-45,29,Equity – Mod,40.0
35-45,30,Equity – Mod,40.0
35-45,31,Equity – Mod,40.0
35-45,32,Equity – Mod,40.0
35-45,33,Equity – Mod,40.0
35-45,34,Equity – Mod,40.0
35-45,35,Equity – Mod,40.0
35-45,36,Equity – Mod,40.0
